,category,name,price,rating,review_count
1037,American (Traditional),Fuddruckers,$$,4.0,152
1038,American (Traditional),Chuck Wagon Restaurant,$,4.0,170
1039,Modern European,LaMuse Cafe,$$,4.5,74
1040,Sandwiches,Subs on the Run,$,4.5,87
1041,Lounges,Boteco,$$,3.5,236
1042,Mexican,Cantina La Veinte Miami,$$$,3.0,396
1043,Japanese,Izakaya Japanese Restaurant,$$,4.0,265
1044,Bakeries,Karla Bakery,$,3.5,121
1045,Sushi Bars,Go To Sushi,$,4.0,151
1046,Sushi Bars,Sakura Sushi & Bar,$$,3.5,159
1047,Pizza,Moto Moto Pizza Cafe & Grill Pizza,$,4.5,56
1048,Indian,Mint Leaf Indian Brasserie,$$,3.5,278
1049,Cuban,Don Toston Restaurant,$,4.5,43
1050,Pizza,Spritz Pizzeria,$$,3.5,158
1051,Cuban,Latinlite by Fat Busters,$,4.5,52
1052,Seafood,Monty's Coconut Grove,$$,3.0,523
1053,French,Downtown Bistro,$$,4.5,93
1054,Spanish,El Manchego Restaurant,$$,4.5,47
1055,Mexican,Las Cazuelas,$$,4.0,218
1056,Breakfast & Brunch,El Atlakat,$$,4.0,169
1057,Caribbean,Clive's Cafe,$$,4.5,90
1058,Caribbean,B & M Market & Rhoti Shop,$,4.5,72
1059,Italian,Salvatore D,$$,4.0,134
1060,Pizza,A Little Bit of Philly,$,4.5,270
1061,Pizza,Farinelli 1937,$$,4.0,134
1062,American (New),The Arketekt by Aficionados,$$,4.5,77
1063,Cocktail Bars,The Anderson,$$,4.0,144
1064,Seafood,Chef Creole Seafood & Catering,$,4.0,152
1065,Tapas/Small Plates,La Latina,$,3.5,267
1066,Spanish,Lola's Gourmet,$$,4.5,70
1067,American (Traditional),Fuddruckers,$$,4.0,152
1068,American (Traditional),Chuck Wagon Restaurant,$,4.0,170
1069,Modern European,LaMuse Cafe,$$,4.5,74
1070,Sandwiches,Subs on the Run,$,4.5,87
1071,Lounges,Boteco,$$,3.5,236
1072,Mexican,Cantina La Veinte Miami,$$$,3.0,396
1073,Japanese,Izakaya Japanese Restaurant,$$,4.0,265
1074,Bakeries,Karla Bakery,$,3.5,121
1075,Sushi Bars,Go To Sushi,$,4.0,151
1076,Sushi Bars,Sakura Sushi & Bar,$$,3.5,159
1077,Pizza,Moto Moto Pizza Cafe & Grill Pizza,$,4.5,56
1078,Indian,Mint Leaf Indian Brasserie,$$,3.5,278
1079,Cuban,Don Toston Restaurant,$,4.5,43
1080,American (New),Tuyo,$$$$,4.0,132
1081,Greek,Mykonos Greek Restaurant,$$,3.5,247
1082,Southern,Crackers Casual Dining,$$,4.5,499
1083,Cuban,El Rinconcito El Chele,$,4.0,107
1084,American (Traditional),Flanigan's Seafood Bar & Grill,$$,3.5,225
1085,Japanese,Shinju Japanese Buffet,$$,3.5,229
1086,Burgers,Pincho Factory,$$,4.0,589
1087,Coffee & Tea,Puroast Coffee,$,4.0,91
1088,Sushi Bars,Jasmine Sushi & Thai Cuisine,$$,4.0,121
1089,American (Traditional),Mike's At Venetia,$$,3.5,197
1090,Spanish,El Rincon Asturiano,$$,4.0,88
1091,Bakeries,Oriental Bakery & Grocery Co,$,4.5,78
1092,Latin American,Pueblito Viejo,$$,4.0,146
